EVSLF,0.0,12510000.0,0,0,0,0,0,0,0,-100,-100,-100
MEPDF,0.0,0,2.02,6,1,0,5,0,0,-100,-100,-100
BLYQ,0.0,18810000.0,0,0,0,0,0,0,0,-100,-100,-100
RRD,5.75,414430000.0,0,1,1,0,0,0,0,21.74,21.74,21.74
YRD,4.0,335080000.0,0,1,0,0,0,0,1,428.25,428.25,428.25
ATOS,3.37,408370000.0,0,2,2,0,0,0,0,107.72,122.55,137.39
KSHTF,0.0,153890000.0,0,0,0,0,0,0,0,-100,-100,-100
WSRRF,0.0,8500000.0,0,0,0,0,0,0,0,-100,-100,-100
DFAI,29.76,0,1.45,0,0,0,0,0,0,-100,-100,-100
ASNHF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
CECBW,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
DEUZF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
FHRT,0.0,8700000.0,0,0,0,0,0,0,0,-100,-100,-100
JKSSY,0.0,0,0,10,10,0,0,0,0,-100,-100,-100
TPHIF,0.0,907280000.0,0,0,0,0,0,0,0,-100,-100,-100
NAK,0.4255,211880000.0,0,2,2,0,0,0,0,158.52,158.52,158.52
MMMRF,0.0,0,0,1,1,0,0,0,0,-100,-100,-100
SQNS,5.51,51840000.0,0,5,4,1,0,0,0,27.04,99.64,199.46
CLLEF,0.0,125040000.0,0,0,0,0,0,0,0,-100,-100,-100
WLDFF,0.1,0,0,0,0,0,0,0,0,-100,-100,-100
IGN,72.92,0,0.39,0,0,0,0,0,0,-100,-100,-100
DOWLF,0.0,30310000.0,0,1,1,0,0,0,0,-100,-100,-100
NBGLF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
LUCRF,0.5892,231120000.0,0,4,1,0,3,0,0,8.62,20.5,57.84
UOLGY,21.41,0,4.44,3,3,0,0,0,0,10.37,24.75,30.55
VSMV,39.28,0,0.57,0,0,0,0,0,0,-100,-100,-100
XPL,0.5814,34470000.0,0,1,1,0,0,0,0,54.8,54.8,54.8
TEKKW,0.87,0,0,0,0,0,0,0,0,-100,-100,-100
HGRVF,0.0,235930000.0,0,1,1,0,0,0,0,-100,-100,-100
CPWIF,0.0,0,8.02,1,1,0,0,0,0,-100,-100,-100
BZWR,0.1065,0,0,0,0,0,0,0,0,-100,-100,-100
JJE,38.42,0,0,0,0,0,0,0,0,-100,-100,-100
PSBAF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
ACRE,14.82,687610000.0,9.02,6,4,1,1,0,0,4.59,9.65,11.34
LPI,47.69,771510000.0,0,10,3,2,4,0,1,32.1,79.28,134.85
HCMLF,57.9,0,3.8,0,0,0,0,0,0,3.45,12.26,41.62
NRCD,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
TRPTF,0.0,46020000.0,0,0,0,0,0,0,0,-100,-100,-100
BRRAY,0.0,0,1.31,8,3,2,3,0,0,-100,-100,-100
CCNEP,28.18,423800000.0,6.32,3,2,0,1,0,0,-0.64,2.91,2.91
CTTH,0.063,2970000.0,0,0,0,0,0,0,0,-100,-100,-100
LSLGF,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
UBSFY,11.87,0,0,25,11,2,11,0,1,-12.64,32.1,80.03
JCS,7.0,67050000.0,1.13,1,1,0,0,0,0,71.43,71.43,71.43
HALMY,0.0,0,1.01,16,4,0,8,2,2,-100,-100,-100
CSWI,125.14,2008000000.0,0.47,2,2,0,0,0,0,3.88,11.87,19.87
IFV,24.03,0,0.95,0,0,0,0,0,0,-100,-100,-100
GMPUF,0.0,0,1.12,16,8,0,7,0,1,-100,-100,-100
NAACU,0.0,458250000.0,0,0,0,0,0,0,0,-100,-100,-100
